Name,Business Description,Category,Zoning,DataParsing.Address,Neighbourhood,Neighbourhood ID,Latitude,Longitude,Point
CO-OP LIQUOR STORE AT CHAPPELLE #24,Retail Liquor Store,Alcohol Sales (Consumption Off Premises),CSC,14163 - 28 AVENUE SW,CHAPPELLE AREA,5462,53.40944519,-113.5670022,POINT (-113.567002194526 53.409445188211)
66TH STREET LIQUOR,Liquor Store,Alcohol Sales (Consumption Off Premises),CB1,11804 - 66 STREET NW,MONTROSE,2550,53.570586629221175,-113.4434492,POINT (-113.443449239033 53.570586629221)
BOSS LIQUOR DISCOUNTER,RETAIL LIQUOR STORE FOR OFF-SITE ALCOHOL CONSUMPTION,Alcohol Sales (Consumption Off Premises),DC2,4223 - 23 AVENUE NW,DALY GROVE,6150,53.45451774417538,-113.4080855,POINT (-113.408085466411 53.454517744175)
50 ST LIQUOR STORE,Liquor Store,Alcohol Sales (Consumption Off Premises),IB,5010 - 76 AVENUE NW,DAVIES INDUSTRIAL EAST,6160,53.51313411039136,-113.4192994,POINT (-113.419299429899 53.513134110391)
LIQUOR DEPOT AT CALLINGWOOD SQUARE #551,Liquor Store,Alcohol Sales (Consumption Off Premises),CSC,6611 - 177 STREET NW,CALLINGWOOD SOUTH,4080,53.502216259196096,-113.6267442,POINT (-113.62674417364 53.502216259196)
ABC LIQUOR OUTLET,RETAIL LIQUOR STORE,Alcohol Sales (Consumption Off Premises),CB2,10816 - 170 STREET NW,MCNAMARA INDUSTRIAL,4300,53.55477922170328,-113.6166887,POINT (-113.616688661653 53.554779221703)
JACK'S LIQUOR STORE,Liquor Store,Alcohol Sales (Consumption Off Premises),CB1,9012 - 50 STREET NW,OTTEWELL,6550,53.522421191594916,-113.4191956,POINT (-113.419195564184 53.522421191595)
CROWN LIQUOR STORE,Liquor store,Alcohol Sales (Consumption Off Premises),IB,9119 - STADIUM ROAD NW,MCCAULEY,1140,53.55423316408645,-113.4781952,POINT (-113.478195229233 53.554233164086)
LIQUOR ON 96,Liquor Store,Alcohol Sales (Consumption Off Premises),DC1 DC1,10164 - 96 STREET NW,BOYLE STREET,1020,53.54442859528335,-113.4828218,POINT (-113.482821831167 53.544428595283)
ACE LIQUOR DISCOUNTER AT JAGARE RIDGE,Liquor Store,Alcohol Sales (Consumption Off Premises),CSC,14116 - 28 AVENUE SW,HAYS RIDGE AREA,5465,53.411093192682664,-113.5668103,POINT (-113.566810280648 53.411093192683)
CROWN LIQUOR,Liquor store,Alcohol Sales (Consumption Off Premises),CNC CB1 RF3,9537 - 76 AVENUE NW,RITCHIE,6610,53.51180963561517,-113.4759592,POINT (-113.475959170184 53.511809635615)
LIQUOR ISLAND,Liquor retail store,Alcohol Sales (Consumption Off Premises),CSC,20122 - LESSARD ROAD NW,THE HAMPTONS,4461,53.47800068,-113.6734068,POINT (-113.673406824143 53.478000680696)
ACE LIQUOR DISCOUNTER AT MANNING TOWN CENTRE,Liquor Store,Alcohol Sales (Consumption Off Premises),DC1 DC1,15728 - 37 STREET NW,GORMAN,2311,53.61848754892198,-113.3990655,POINT (-113.399065474025 53.618487548922)
KESWICK BOSS LIQUOR,RETAIL LIQUOR STORE FOR OFF-SITE CONSUMPTION.,Alcohol Sales (Consumption Off Premises),DC2,2767 - 182 STREET SW,KESWICK AREA,5576,53.411037755373385,-113.6357212,POINT (-113.635721161209 53.411037755373)
JASPER LIQUOR MERCHANTS,Liquor Store,Alcohol Sales (Consumption Off Premises),DC2,11607 - JASPER AVENUE NW,OLIVER,1150,53.54062649394158,-113.5219458,POINT (-113.521945830352 53.540626493942)
ACE LIQUOR AT LONDONDERRY,Liquor Store,Alcohol Sales (Consumption Off Premises),CSC,14010 - 66 STREET NW,KILDARE,2400,53.60238846587628,-113.4460354,POINT (-113.446035413793 53.602388465876)
LOCAL LIQUOR STORE,Liquor store,Alcohol Sales (Consumption Off Premises),CSC,4232 - 66 STREET NW,MICHAELS PARK,6480,53.48102795481291,-113.4437824,POINT (-113.443782399843 53.481027954813)
LIQUOR 118,Liquor Store,Alcohol Sales (Consumption Off Premises),CB2,8933 - 118 AVENUE NW,ALBERTA AVENUE,1010,53.570231204686664,-113.4793019,POINT (-113.479301858505 53.570231204687)
COLOR-DE-VINO,To operate a Fine wine & spirits retail liquor store.,Alcohol Sales (Consumption Off Premises),CB2,9606 - 82 AVENUE NW,STRATHCONA,5480,53.51835551923612,-113.47705,POINT (-113.477049955549 53.518355519236)
LIQUOR ON 17,Liquor store,Alcohol Sales (Consumption Off Premises),CB1,1758 - 34 AVENUE NW,WILD ROSE,6790,53.46801323521445,-113.3706512,POINT (-113.370651218797 53.468013235214)
CHATEAU LOUIS LIQUOR STORE,Liquor Store,Alcohol Sales (Consumption Off Premises),CB2,11450 - 117 STREET NW,PRINCE RUPERT,1170,53.56628890643667,-113.5225306,POINT (-113.522530628704 53.566288906437)
97 STREET LIQUOR STORE,liquor store,Alcohol Sales (Consumption Off Premises),CSC,12965 - 97 STREET NW,KILLARNEY,2420,53.58937012568389,-113.4914724,POINT (-113.491472388277 53.589370125684)
LIQUOR 118,Liquor Store,Alcohol Sales (Consumption Off Premises),CB2,8933 - 118 AVENUE NW,ALBERTA AVENUE,1010,53.570116068857864,-113.4793008,POINT (-113.479300800414 53.570116068858)
LIQUOR HUT,Liquor Store,Alcohol Sales (Consumption Off Premises),DC1,2427 - MAPLE ROAD NW,TAMARACK,6443,53.47748166,-113.3662,POINT (-113.366199973527 53.477481657482)
OLYMPIA LIQUOR SKYVIEW,Retail Liquor Store,Alcohol Sales (Consumption Off Premises),DC2,13538 - 137 AVENUE NW,PEMBINA,3340,53.60036904574858,-113.5550119,POINT (-113.555011925827 53.600369045749)
REAL CANADIAN LIQUOR STORE,To continue to operate a Major Alcohol Sales use.,Alcohol Sales (Consumption Off Premises) Minor Retail Store,CSC,12350 - 137 AVENUE NW,BARANOW,3020,53.60085855,-113.5367261,POINT (-113.536726088994 53.600858552136)
RIVERVIEW LIQUOR,Liquor retail store,Alcohol Sales (Consumption Off Premises),RA9,1 9028 - JASPER AVENUE NW,BOYLE STREET,1020,53.55085749979072,-113.4744068,POINT (-113.474406804542 53.550857499791)
ECONO LIQUOR,Liquor Store,Alcohol Sales (Consumption Off Premises),CSC CSC,8323 - CHAPPELLE WAY SW,CHAPPELLE AREA,5462,53.39672627,-113.5937072,POINT (-113.593707234891 53.396726272159)
LIQUOR ISLAND,LIQUOR STORE,Alcohol Sales (Consumption Off Premises),DC2,9772 - 182 STREET NW,LA PERLE,4240,53.53284475,-113.6384925,POINT (-113.638492511875 53.532844753695)
LONGSTREET LIQUOR,,Alcohol Sales (Consumption Off Premises),DC1,11411 - 104 AVENUE NW,OLIVER,1150,53.545936415759215,-113.5172718,POINT (-113.517271752442 53.545936415759)
ACE LIQUOR DISCOUNTER AT HERITAGE VILLAGE,Liquor Store,Alcohol Sales (Consumption Off Premises),DC2,11035 - 23 AVENUE NW,KEHEEWIN,5250,53.45280838727468,-113.5146182,POINT (-113.514618199827 53.452808387275)
HERMITAGE LIQUOR EXPRESS,Liquor Store,Alcohol Sales (Consumption Off Premises),CSC,12727 - 50 STREET NW,HOMESTEADER,2350,53.586691699519896,-113.4171943,POINT (-113.417194260641 53.58669169952)
ACE LIQUOR DISCOUNTER AT CLAREVIEW,Liquor Store,Alcohol Sales (Consumption Off Premises),CSC,14005 - VICTORIA TRAIL NW,BANNERMAN,2030,53.603784512123454,-113.3843986,POINT (-113.384398557296 53.603784512123)
SOBEYS SPIRITS WINE COLD BEER,liquor store,Alcohol Sales (Consumption Off Premises),CSC CB2,11436 - 106 STREET NW,SPRUCE AVENUE,1230,53.562375699086466,-113.5056756,POINT (-113.505675600851 53.562375699086)
SINOCAN SUPPLY INC.,Sinocan Supply Inc is a alcohol beverage importer and distribute to liquor boards across the Canada.,Alcohol Sales (Consumption Off Premises),EIB,302 1230 - 91 STREET SW,ELLERSLIE INDUSTRIAL,6214,53.42225436227336,-113.47637,POINT (-113.476370038254 53.422254362273)
MARIO'S LIQUOR STORE LTD,Liquor Store,Alcohol Sales (Consumption Off Premises),CB1,5007 - 118 AVENUE NW,HIGHLANDS,2330,53.57008585705061,-113.4187976,POINT (-113.418797600261 53.570085857051)
ACE LIQUOR DISCOUNTER AT OLD TOWNE,Liquor Store,Alcohol Sales (Consumption Off Premises),CSC,11708 - 34 STREET NW,BEVERLY HEIGHTS,2100,53.56980046345329,-113.3954495,POINT (-113.395449527691 53.569800463453)
ARGYLL LIQUOR LINK,LIQUOR STORE,Alcohol Sales (Consumption Off Premises),CB3 IB,6922 - 76 AVENUE NW,GIRARD INDUSTRIAL,6260,53.512865809129906,-113.4344651,POINT (-113.434465051705 53.51286580913)
SUPER VALUE LIQUOR,RETAIL LIQUOR STORE,Alcohol Sales (Consumption Off Premises),CSC,12832 - 97 STREET NW,LAUDERDALE,3260,53.58639872914249,-113.4929203,POINT (-113.49292032483 53.586398729142)
MOLSON COORS CANADA,Brewery Sales Office,Alcohol Sales (Consumption Off Premises),IB,28 - AIRPORT ROAD NW,BLATCHFORD AREA,1111,53.56757181515077,-113.5203887,POINT (-113.520388666275 53.567571815151)
THE REAL CANADIAN LIQUOR STORE,Retail Liquor Store,Alcohol Sales (Consumption Off Premises),DC1 DC1,635 - 54 STREET SW,CHARLESWORTH,6661,53.427104944566075,-113.4243212,POINT (-113.424321227117 53.427104944566)
